sale_id,store_id,customer_id,product_id,sale_date,quantity,total_amount,channel
1,9,415,545,2023-08-11 19:25:00,7,12873,Онлайн
2,9,1301,215,2023-01-29 03:53:00,7,300398,Онлайн
3,4,3761,203,2023-02-08 02:42:00,4,387804,Оффлайн
4,4,2087,336,2023-01-14 01:04:00,7,252756,Онлайн
5,10,3641,565,2023-11-10 20:17:00,2,13306,Оффлайн
6,2,4943,10,2023-11-19 19:04:00,6,351120,Онлайн
7,1,4181,217,2023-08-21 13:49:00,3,138795,Онлайн
8,10,4338,341,2023-10-26 14:41:00,7,144753,Онлайн
9,5,4608,103,2023-01-26 23:23:00,4,51028,Оффлайн
10,8,3182,494,2023-05-19 00:57:00,8,26952,Оффлайн
11,8,4532,229,2023-08-15 19:18:00,7,570577,Онлайн
12,9,3914,63,2023-01-30 22:28:00,3,208410,Оффлайн
13,10,1213,423,2023-07-30 21:08:00,10,371250,Онлайн
14,6,2806,119,2023-06-26 00:35:00,2,83700,Оффлайн
15,5,3569,474,2023-11-17 15:59:00,7,257124,Онлайн
16,5,1909,103,2023-03-24 18:44:00,10,127570,Онлайн
17,3,2743,377,2023-05-15 00:25:00,9,60903,Оффлайн
18,5,3556,574,2023-02-04 06:12:00,4,34968,Оффлайн
19,2,2432,358,2023-04-29 02:59:00,3,27240,Оффлайн
20,7,4096,91,2023-07-03 22:59:00,3,113280,Онлайн
21,1,3322,552,2023-06-26 12:06:00,8,23952,Онлайн
22,4,2447,730,2023-08-26 00:13:00,3,246852,Онлайн
23,3,3117,630,2023-02-10 19:10:00,1,2725,Оффлайн
24,4,3600,549,2023-02-27 07:48:00,7,42399,Онлайн
25,8,3481,194,2023-09-20 21:20:00,3,57048,Оффлайн
26,3,4273,394,2023-09-11 17:36:00,6,37620,Оффлайн
27,5,1989,350,2023-03-04 06:13:00,8,119072,Онлайн
28,2,2530,742,2023-12-08 17:18:00,5,300630,Оффлайн
29,8,1559,571,2023-10-31 01:46:00,3,13719,Оффлайн
30,4,782,417,2023-01-25 04:55:00,7,279391,Оффлайн
31,8,4538,90,2023-09-19 01:52:00,2,158326,Оффлайн
32,1,2195,540,2023-05-22 09:03:00,4,8612,Оффлайн
33,9,1876,17,2023-04-15 21:16:00,2,141178,Оффлайн
34,4,261,227,2023-08-29 17:06:00,3,73989,Оффлайн
35,9,4566,223,2023-09-13 21:32:00,3,203736,Онлайн
36,8,1529,186,2023-02-08 00:53:00,3,209787,Онлайн
37,1,4878,429,2023-09-09 18:34:00,3,68100,Онлайн
38,5,1539,330,2023-11-18 06:16:00,9,319050,Оффлайн
39,10,1814,186,2023-03-29 18:34:00,6,419574,Оффлайн
