cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,region_x,city_x,region_y,city_y,store_type,total_mass_kg,post_index,season
10.1,13,48,9,B2B,Физическое лицо,Спорттовары,Тренажеры,Южный,Сочи,Уральский,Екатеринбург,Розничный,657.0,685972,Весна
10.25,17,8,5,B2C,Физическое лицо,Одежда,Мужская,Северо-Западный,Санкт-Петербург,Уральский,Екатеринбург,Розничный,1.5,255445,Осень
10.75,7,22,8,B2C,Физическое лицо,Спорттовары,Тренажеры,Южный,Сочи,Южный,Краснодар,Розничный,210.4,844970,Зима
100.5,175,10,10,B2C,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Северо-Западный,Санкт-Петербург,Розничный,30.5,72315,Весна
100.52,73,64,3,B2C,Физическое лицо,Электроника,Аксессуары,Южный,Сочи,Южный,Сочи,Розничный,0.75,548216,Весна
1001.34,735,58,9,B2C,Физическое лицо,Одежда,Унисекс,Сибирский,Новосибирск,Центральный,Москва,Розничный,1.62,749497,Весна
1001.71,518,41,7,B2C,Физическое лицо,Электроника,Аксессуары,Южный,Сочи,Уральский,Екатеринбург,Розничный,0.091,249435,Весна
1001.94,526,10,10,B2C,Юридическое лицо,Спорттовары,Тренажеры,Южный,Сочи,Южный,Сочи,Розничный,263.0,304213,Зима
1002.44,628,54,8,B2B,Физическое лицо,Электроника,Аксессуары,Центральный,Москва,Центральный,Москва,Розничный,2.0,178936,Осень
1002.56,812,65,10,B2B,Юридическое лицо,Бытовая техника,Крупная техника,Северо-Западный,Санкт-Петербург,Центральный,Нижний Новгород,Розничный,700.0,698769,Лето
1002.98,960,57,3,B2B,Физическое лицо,Электроника,Мобильные устройства,Северо-Западный,Санкт-Петербург,Дальневосточный,Владивосток,Розничный,0.51,635551,Весна
1003.85,823,8,6,B2C,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Нижний Новгород,Южный,Краснодар,Розничный,420.0,645945,Лето
1004.72,721,68,7,B2B,Физическое лицо,Бытовая техника,Малая техника,Приволжский,Казань,Центральный,Москва,Розничный,24.5,847018,Осень
1005.8,575,9,8,B2C,Физическое лицо,Спорттовары,Тренажеры,Приволжский,Казань,Южный,Краснодар,Оптовый,210.4,240894,Лето
1006.01,720,49,1,B2C,Физическое лицо,Электроника,Аксессуары,Центральный,Москва,Северо-Западный,Санкт-Петербург,Розничный,0.25,397945,Весна
1007.04,773,18,10,B2C,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Центральный,Москва,Оптовый,5.0,203353,Осень
1007.32,520,63,7,B2B,Физическое лицо,Электроника,Аксессуары,Северо-Западный,Санкт-Петербург,Северо-Западный,Калининград,Розничный,1.75,224808,Лето
1007.61,654,38,5,VIP,Физическое лицо,Бытовая техника,Крупная техника,Приволжский,Казань,Приволжский,Казань,Розничный,300.0,649720,Лето
1009.02,805,44,6,B2C,Физическое лицо,Одежда,Женская,Южный,Сочи,Южный,Краснодар,Розничный,1.98,319553,Осень
1009.23,646,63,4,B2B,Физическое лицо,Одежда,Женская,Центральный,Нижний Новгород,Центральный,Москва,Розничный,1.2,877183,Весна
1009.27,526,28,7,B2C,Физическое лицо,Электроника,Компьютеры,Южный,Сочи,Приволжский,Казань,Розничный,70.0,552003,Зима
1009.37,749,4,8,VIP,Физическое лицо,Бытовая техника,Малая техника,Приволжский,Казань,Приволжский,Казань,Розничный,24.4,104284,Весна
1009.49,973,22,5,B2B,Физическое лицо,Бытовая техника,Малая техника,Северо-Западный,Санкт-Петербург,Северо-Западный,Калининград,Розничный,87.5,427786,Зима
101.17,115,32,1,VIP,Физическое лицо,Электроника,Компьютеры,Приволжский,Казань,Уральский,Екатеринбург,Оптовый,10.0,22686,Весна
101.3,74,3,9,B2C,Физическое лицо,Спорттовары,Тренажеры,Приволжский,Казань,Центральный,Москва,Розничный,236.7,55107,Весна
101.47,63,25,6,B2C,Физическое лицо,Электроника,Компьютеры,Центральный,Нижний Новгород,Южный,Краснодар,Розничный,13.2,1338,Лето
101.56,65,69,8,B2C,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Дальневосточный,Владивосток,Розничный,140.0,604976,Весна
101.78,112,46,6,B2C,Юридическое лицо,Электроника,Компьютеры,Приволжский,Казань,Центральный,Нижний Новгород,Оптовый,13.2,300522,Зима
101.86,195,25,2,B2C,Физическое лицо,Электроника,Мобильные устройства,Центральный,Нижний Новгород,Дальневосточный,Владивосток,Розничный,0.34,13108,Весна
101.93,64,1,5,B2B,Юридическое лицо,Электроника,Аксессуары,Сибирский,Новосибирск,Северо-Западный,Санкт-Петербург,Розничный,1.25,472332,Лето
101.97,92,12,7,B2B,Физическое лицо,Бытовая техника,Малая техника,Центральный,Москва,Северо-Западный,Санкт-Петербург,Розничный,24.5,670494,Весна
101.98,123,43,10,B2C,Физическое лицо,Одежда,Унисекс,Приволжский,Казань,Северо-Западный,Калининград,Оптовый,1.8,925544,Весна
1010.53,532,6,1,B2C,Физическое лицо,Электроника,Аксессуары,Приволжский,Казань,Сибирский,Новосибирск,Оптовый,0.25,411981,Осень
1010.8,837,60,9,B2C,Физическое лицо,Одежда,Унисекс,Южный,Сочи,Центральный,Нижний Новгород,Розничный,3.6,490821,Зима
1010.87,981,17,6,B2B,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Сибирский,Новосибирск,Оптовый,1.8,921559,Весна
1012.76,877,23,5,B2C,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Приволжский,Казань,Розничный,2.5,588156,Весна
1013.48,923,42,6,B2C,Физическое лицо,Бытовая техника,Малая техника,Центральный,Москва,Дальневосточный,Владивосток,Розничный,54.0,446610,Лето
1014.54,550,44,10,B2C,Физическое лицо,Одежда,Женская,Приволжский,Казань,Приволжский,Казань,Розничный,3.3,805080,Осень
1014.69,950,61,9,B2B,Юридическое лицо,Бытовая техника,Малая техника,Сибирский,Новосибирск,Сибирский,Новосибирск,Розничный,8.82,596844,Лето
1015.22,537,34,1,B2C,Физическое лицо,Бытовая техника,Малая техника,Северо-Западный,Санкт-Петербург,Уральский,Екатеринбург,Розничный,0.98,291317,Лето
1015.64,779,4,2,B2C,Физическое лицо,Бытовая техника,Малая техника,Центральный,Нижний Новгород,Южный,Краснодар,Розничный,6.1,880933,Зима
1015.76,601,31,10,B2C,Физическое лицо,Электроника,Мобильные устройства,Южный,Сочи,Центральный,Нижний Новгород,Розничный,5.0,127430,Осень
1015.94,668,48,7,B2C,Физическое лицо,Спорттовары,Тренажеры,Северо-Западный,Санкт-Петербург,Центральный,Нижний Новгород,Розничный,184.1,809984,Весна
1016.02,797,7,1,B2C,Физическое лицо,Спорттовары,Тренажеры,Южный,Сочи,Северо-Западный,Санкт-Петербург,Розничный,26.3,627299,Осень
