cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,region_x,city_x,region_y,city_y,store_type,total_mass_kg,post_index,season
10.26,15,23,9,B2C,Юридическое лицо,Одежда,Унисекс,Приволжский,Казань,Уральский,Екатеринбург,Розничный,3.6,226513,Зима
10.28,18,69,5,B2B,Физическое лицо,Одежда,Унисекс,Северо-Западный,Санкт-Петербург,Сибирский,Новосибирск,Розничный,0.8999999999999999,120422,Лето
10.44,6,48,7,B2C,Физическое лицо,Одежда,Мужская,Центральный,Москва,Северо-Западный,Калининград,Розничный,2.1,279617,Лето
10.66,8,7,8,B2C,Физическое лицо,Электроника,Аксессуары,Южный,Сочи,Приволжский,Казань,Розничный,0.104,87697,Лето
10.68,6,20,6,B2C,Юридическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Центральный,Москва,Розничный,5.88,210615,Лето
100.39,191,33,8,B2C,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Москва,Приволжский,Казань,Розничный,480.0,355899,Зима
100.56,76,37,8,VIP,Физическое лицо,Спорттовары,Тренажеры,Южный,Сочи,Дальневосточный,Владивосток,Розничный,210.4,695272,Весна
100.81,111,32,6,B2C,Юридическое лицо,Электроника,Аксессуары,Северо-Западный,Санкт-Петербург,Центральный,Нижний Новгород,Розничный,1.5,287743,Зима
100.98,169,47,1,B2C,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Нижний Новгород,Уральский,Екатеринбург,Розничный,60.0,187494,Весна
1000.25,834,42,3,B2B,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Нижний Новгород,Северо-Западный,Калининград,Розничный,180.0,965669,Осень
1000.48,748,62,9,B2B,Физическое лицо,Спорттовары,Тренажеры,Центральный,Нижний Новгород,Южный,Краснодар,Розничный,236.7,369363,Зима
1000.81,646,22,6,B2C,Физическое лицо,Одежда,Мужская,Южный,Сочи,Центральный,Нижний Новгород,Розничный,1.8,748341,Лето
1001.59,743,70,5,B2C,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Центральный,Москва,Оптовый,1.5,241615,Осень
1001.79,705,4,5,B2C,Физическое лицо,Бытовая техника,Крупная техника,Южный,Сочи,Центральный,Москва,Розничный,300.0,623506,Зима
1002.58,643,66,1,B2C,Физическое лицо,Одежда,Мужская,Сибирский,Новосибирск,Приволжский,Казань,Розничный,0.5,118082,Весна
1003.31,827,72,9,VIP,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Дальневосточный,Владивосток,Розничный,31.5,142419,Осень
1003.32,538,71,5,B2C,Физическое лицо,Бытовая техника,Крупная техника,Сибирский,Новосибирск,Центральный,Нижний Новгород,Розничный,300.0,796146,Осень
1004.57,590,57,8,B2B,Юридическое лицо,Электроника,Аксессуары,Сибирский,Новосибирск,Северо-Западный,Калининград,Розничный,2.0,719142,Весна
1004.75,814,20,3,B2C,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Москва,Южный,Сочи,Розничный,180.0,676846,Лето
1005.34,988,45,10,B2C,Юридическое лицо,Спорттовары,Тренажеры,Северо-Западный,Санкт-Петербург,Уральский,Екатеринбург,Розничный,263.0,945364,Зима
1006.07,607,43,8,B2C,Физическое лицо,Спорттовары,Тренажеры,Центральный,Москва,Центральный,Москва,Розничный,210.4,67305,Зима
1006.9,620,30,1,B2C,Физическое лицо,Одежда,Унисекс,Центральный,Нижний Новгород,Северо-Западный,Калининград,Розничный,0.4,708076,Зима
1006.92,528,7,6,B2B,Физическое лицо,Электроника,Аксессуары,Центральный,Нижний Новгород,Уральский,Екатеринбург,Розничный,1.5,419735,Весна
1007.34,926,38,3,B2C,Физическое лицо,Одежда,Унисекс,Приволжский,Казань,Приволжский,Казань,Оптовый,0.54,8661,Лето
1007.6,545,43,6,B2B,Физическое лицо,Спорттовары,Тренажеры,Северо-Западный,Санкт-Петербург,Сибирский,Новосибирск,Розничный,157.8,329519,Весна
1007.73,514,22,4,VIP,Физическое лицо,Бытовая техника,Крупная техника,Приволжский,Казань,Сибирский,Новосибирск,Розничный,240.0,836304,Лето
1007.99,660,12,9,B2B,Физическое лицо,Одежда,Унисекс,Сибирский,Новосибирск,Южный,Краснодар,Розничный,3.6,885788,Лето
1009.25,919,34,5,B2C,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Нижний Новгород,Сибирский,Новосибирск,Розничный,300.0,410546,Лето
101.26,126,61,1,B2C,Физическое лицо,Одежда,Мужская,Северо-Западный,Санкт-Петербург,Южный,Краснодар,Розничный,0.3,953655,Весна
101.36,63,15,6,B2C,Физическое лицо,Спорттовары,Тренажеры,Сибирский,Новосибирск,Центральный,Нижний Новгород,Розничный,157.8,313496,Осень
101.75,89,42,4,B2C,Физическое лицо,Электроника,Мобильные устройства,Южный,Сочи,Дальневосточный,Владивосток,Розничный,0.68,15972,Весна
101.79,55,53,4,B2C,Физическое лицо,Электроника,Компьютеры,Сибирский,Новосибирск,Северо-Западный,Калининград,Розничный,8.8,270302,Зима
101.99,62,2,3,B2B,Юридическое лицо,Одежда,Мужская,Центральный,Нижний Новгород,Дальневосточный,Владивосток,Розничный,1.5,448338,Осень
