cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,region_x,city_x,region_y,city_y,store_type,total_mass_kg,post_index,season
10.48,16,18,10,B2C,Физическое лицо,Одежда,Женская,Центральный,Москва,Южный,Сочи,Розничный,6.0,932153,Весна
10.72,9,47,1,B2C,Юридическое лицо,Электроника,Мобильные устройства,Приволжский,Казань,Центральный,Москва,Розничный,0.17,557901,Зима
10.85,12,27,6,B2C,Физическое лицо,Одежда,Женская,Центральный,Москва,Центральный,Москва,Розничный,1.8,339449,Весна
100.19,137,60,10,B2B,Физическое лицо,Одежда,Женская,Южный,Сочи,Южный,Сочи,Розничный,3.0,44120,Зима
100.39,58,17,7,B2C,Физическое лицо,Электроника,Компьютеры,Южный,Сочи,Южный,Сочи,Розничный,70.0,731050,Зима
100.82,59,62,8,B2C,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Южный,Краснодар,Оптовый,5.6,826396,Осень
100.92,146,51,7,B2B,Физическое лицо,Электроника,Мобильные устройства,Приволжский,Казань,Центральный,Нижний Новгород,Оптовый,1.19,212580,Лето
1000.52,839,8,4,B2C,Физическое лицо,Одежда,Унисекс,Приволжский,Казань,Южный,Краснодар,Оптовый,2.4,294253,Осень
1001.31,710,21,2,B2C,Физическое лицо,Электроника,Аксессуары,Приволжский,Казань,Северо-Западный,Санкт-Петербург,Оптовый,0.026,420589,Зима
1001.74,955,21,7,B2C,Юридическое лицо,Одежда,Женская,Центральный,Москва,Дальневосточный,Владивосток,Розничный,4.2,596039,Зима
1002.13,874,21,4,B2B,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Южный,Краснодар,Розничный,14.0,662286,Зима
1002.39,779,35,5,B2C,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Нижний Новгород,Дальневосточный,Владивосток,Розничный,350.0,693941,Лето
1002.51,921,54,1,B2C,Физическое лицо,Одежда,Унисекс,Центральный,Москва,Дальневосточный,Владивосток,Розничный,0.4,427302,Весна
1003.3,819,40,4,B2B,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Южный,Сочи,Розничный,36.0,629116,Зима
1005.03,669,12,2,B2C,Физическое лицо,Одежда,Унисекс,Сибирский,Новосибирск,Сибирский,Новосибирск,Розничный,1.2,177350,Лето
1005.73,887,14,5,B2B,Физическое лицо,Электроника,Аксессуары,Приволжский,Казань,Приволжский,Казань,Оптовый,0.065,17241,Осень
1005.74,676,26,9,B2C,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Дальневосточный,Владивосток,Оптовый,4.5,308437,Лето
1005.78,585,30,6,B2B,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Северо-Западный,Санкт-Петербург,Розничный,3.0,717192,Лето
1006.11,533,5,8,B2C,Физическое лицо,Электроника,Мобильные устройства,Центральный,Москва,Центральный,Москва,Розничный,4.0,464369,Осень
1006.75,798,7,6,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Центральный,Москва,Центральный,Москва,Розничный,360.0,259472,Осень
1006.99,899,8,4,B2C,Физическое лицо,Бытовая техника,Малая техника,Приволжский,Казань,Сибирский,Новосибирск,Оптовый,70.0,649582,Лето
1007.4,833,71,1,B2C,Физическое лицо,Бытовая техника,Крупная техника,Южный,Сочи,Центральный,Нижний Новгород,Розничный,70.0,302122,Зима
1007.46,902,5,1,B2C,Физическое лицо,Электроника,Мобильные устройства,Центральный,Москва,Северо-Западный,Санкт-Петербург,Розничный,0.5,419331,Лето
1007.7,661,64,2,B2C,Физическое лицо,Электроника,Мобильные устройства,Приволжский,Казань,Приволжский,Казань,Оптовый,0.34,264431,Осень
1008.43,582,57,10,B2B,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Центральный,Москва,Розничный,175.0,594704,Осень
1008.68,673,25,2,B2C,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Нижний Новгород,Центральный,Нижний Новгород,Розничный,120.0,282288,Лето
1008.87,800,51,6,B2B,Юридическое лицо,Электроника,Аксессуары,Центральный,Нижний Новгород,Северо-Западный,Калининград,Розничный,0.078,47114,Зима
101.14,118,36,10,VIP,Физическое лицо,Электроника,Компьютеры,Северо-Западный,Санкт-Петербург,Южный,Краснодар,Розничный,50.0,313600,Осень
101.48,166,23,7,VIP,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Дальневосточный,Владивосток,Розничный,6.859999999999999,157608,Весна
1010.01,547,47,1,B2B,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Южный,Краснодар,Розничный,3.05,470113,Весна
1010.45,583,35,6,B2C,Физическое лицо,Электроника,Компьютеры,Южный,Сочи,Уральский,Екатеринбург,Розничный,13.2,653320,Зима
1011.95,857,51,3,B2C,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Сибирский,Новосибирск,Розничный,0.8999999999999999,194449,Зима
1012.61,697,49,5,B2C,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Москва,Приволжский,Казань,Розничный,300.0,239371,Осень
1013.45,574,39,6,B2C,Юридическое лицо,Электроника,Компьютеры,Приволжский,Казань,Сибирский,Новосибирск,Розничный,13.2,556347,Лето
1013.66,727,37,1,B2B,Юридическое лицо,Бытовая техника,Малая техника,Сибирский,Новосибирск,Южный,Краснодар,Розничный,17.5,659797,Весна
1014.47,546,5,8,B2B,Физическое лицо,Электроника,Мобильные устройства,Северо-Западный,Санкт-Петербург,Центральный,Нижний Новгород,Розничный,4.0,289403,Зима
1014.52,780,63,3,B2C,Физическое лицо,Одежда,Мужская,Южный,Сочи,Сибирский,Новосибирск,Розничный,1.5,136958,Весна
1014.67,771,45,3,B2B,Физическое лицо,Одежда,Унисекс,Южный,Сочи,Приволжский,Казань,Розничный,0.54,680989,Весна
1015.54,548,35,2,B2B,Физическое лицо,Одежда,Женская,Сибирский,Новосибирск,Центральный,Москва,Розничный,1.2,611892,Лето
1015.76,765,54,1,B2C,Физическое лицо,Одежда,Унисекс,Южный,Сочи,Южный,Сочи,Розничный,0.18,289830,Весна
1015.83,509,53,9,B2C,Физическое лицо,Одежда,Мужская,Сибирский,Новосибирск,Уральский,Екатеринбург,Розничный,6.3,657737,Зима
1016.5,614,8,6,B2C,Физическое лицо,Бытовая техника,Малая техника,Северо-Западный,Санкт-Петербург,Северо-Западный,Калининград,Розничный,21.0,205583,Лето
1017.03,880,25,7,B2C,Физическое лицо,Бытовая техника,Малая техника,Приволжский,Казань,Сибирский,Новосибирск,Розничный,122.5,36938,Зима
1017.18,567,38,10,VIP,Физическое лицо,Одежда,Женская,Южный,Сочи,Северо-Западный,Калининград,Розничный,3.3,200975,Зима
1017.61,987,13,1,B2C,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Нижний Новгород,Северо-Западный,Калининград,Розничный,70.0,970666,Лето
1019.15,993,41,3,B2B,Юридическое лицо,Бытовая техника,Малая техника,Центральный,Москва,Приволжский,Казань,Розничный,27.0,266375,Весна
1019.18,642,52,6,B2C,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Центральный,Нижний Новгород,Розничный,21.0,270681,Лето
1019.91,677,9,8,B2C,Физическое лицо,Одежда,Унисекс,Южный,Сочи,Дальневосточный,Владивосток,Розничный,1.44,416171,Весна
1019.92,693,61,3,B2B,Физическое лицо,Бытовая техника,Крупная техника,Центральный,Москва,Южный,Краснодар,Розничный,180.0,749200,Весна
102.0,106,44,1,B2C,Физическое лицо,Электроника,Компьютеры,Центральный,Москва,Северо-Западный,Калининград,Розничный,5.0,300673,Осень
102.42,125,53,3,B2C,Физическое лицо,Одежда,Унисекс,Северо-Западный,Санкт-Петербург,Дальневосточный,Владивосток,Розничный,0.54,894030,Зима
102.47,132,29,3,B2C,Физическое лицо,Одежда,Женская,Северо-Западный,Санкт-Петербург,Северо-Западный,Калининград,Розничный,0.99,294985,Зима
102.57,169,7,5,B2C,Физическое лицо,Одежда,Женская,Приволжский,Казань,Центральный,Москва,Оптовый,1.65,964007,Зима
102.63,166,52,1,B2B,Физическое лицо,Электроника,Аксессуары,Северо-Западный,Санкт-Петербург,Южный,Краснодар,Розничный,0.25,322429,Весна
102.68,66,49,5,B2C,Физическое лицо,Электроника,Компьютеры,Приволжский,Казань,Центральный,Нижний Новгород,Оптовый,11.0,127364,Зима
102.86,164,12,8,B2B,Юридическое лицо,Электроника,Компьютеры,Приволжский,Казань,Сибирский,Новосибирск,Розничный,80.0,709089,Лето
1020.42,628,17,10,B2C,Физическое лицо,Электроника,Компьютеры,Южный,Сочи,Южный,Сочи,Розничный,100.0,624226,Лето
1020.8,764,39,4,B2B,Физическое лицо,Электроника,Аксессуары,Северо-Западный,Санкт-Петербург,Южный,Сочи,Розничный,0.12,894168,Осень
1020.84,702,64,2,B2C,Физическое лицо,Бытовая техника,Малая техника,Центральный,Нижний Новгород,Сибирский,Новосибирск,Розничный,7.0,92362,Весна
1020.97,581,45,1,B2C,Физическое лицо,Электроника,Аксессуары,Приволжский,Казань,Южный,Сочи,Розничный,0.03,767211,Зима
1021.71,936,19,4,B2C,Юридическое лицо,Одежда,Мужская,Приволжский,Казань,Центральный,Москва,Розничный,1.2,458220,Зима
1021.77,547,34,3,B2C,Физическое лицо,Электроника,Компьютеры,Приволжский,Казань,Северо-Западный,Санкт-Петербург,Розничный,15.0,664106,Зима
1022.33,780,38,5,B2C,Юридическое лицо,Электроника,Компьютеры,Южный,Сочи,Центральный,Нижний Новгород,Розничный,11.0,852295,Зима
1022.79,620,52,2,B2C,Физическое лицо,Электроника,Компьютеры,Центральный,Москва,Дальневосточный,Владивосток,Розничный,10.0,760923,Зима
1023.96,826,43,10,B2C,Физическое лицо,Электроника,Аксессуары,Южный,Сочи,Сибирский,Новосибирск,Розничный,0.13,633670,Весна
1024.72,589,41,9,VIP,Юридическое лицо,Одежда,Унисекс,Центральный,Москва,Северо-Западный,Калининград,Розничный,5.399999999999999,124044,Весна
