cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,region_x,city_x,region_y,city_y,store_type,total_mass_kg,post_index,season
10.21,7,30,10,B2C,Физическое лицо,Электроника,Компьютеры,Центральный,Москва,Южный,Краснодар,Розничный,22.0,303273,Весна
10.44,6,33,7,B2C,Физическое лицо,Электроника,Аксессуары,Сибирский,Новосибирск,Уральский,Екатеринбург,Розничный,1.75,74811,Лето
10.57,15,49,7,B2C,Физическое лицо,Одежда,Унисекс,Центральный,Москва,Центральный,Москва,Розничный,1.26,841894,Осень
10.65,13,59,6,B2C,Физическое лицо,Одежда,Женская,Центральный,Москва,Приволжский,Казань,Розничный,1.8,645013,Весна
10.81,10,25,7,B2B,Физическое лицо,Бытовая техника,Малая техника,Приволжский,Казань,Южный,Краснодар,Оптовый,122.5,943641,Весна
100.28,172,35,6,B2B,Физическое лицо,Электроника,Компьютеры,Центральный,Нижний Новгород,Северо-Западный,Калининград,Розничный,30.0,44569,Зима
100.72,59,29,5,B2C,Физическое лицо,Бытовая техника,Крупная техника,Приволжский,Казань,Южный,Краснодар,Оптовый,300.0,472855,Осень
1000.03,960,9,8,B2B,Физическое лицо,Электроника,Мобильные устройства,Северо-Западный,Санкт-Петербург,Северо-Западный,Санкт-Петербург,Розничный,4.0,962180,Лето
1000.17,534,37,3,B2C,Юридическое лицо,Бытовая техника,Малая техника,Центральный,Нижний Новгород,Центральный,Москва,Розничный,52.5,798315,Весна
1000.43,779,6,3,B2C,Физическое лицо,Бытовая техника,Малая техника,Центральный,Нижний Новгород,Уральский,Екатеринбург,Розничный,10.5,145149,Осень
1000.63,849,11,7,B2C,Физическое лицо,Бытовая техника,Малая техника,Приволжский,Казань,Дальневосточный,Владивосток,Оптовый,6.859999999999999,237824,Лето
1001.09,636,13,4,B2B,Физическое лицо,Одежда,Унисекс,Сибирский,Новосибирск,Центральный,Нижний Новгород,Розничный,1.6,927453,Зима
1001.41,837,20,8,B2C,Физическое лицо,Одежда,Женская,Южный,Сочи,Сибирский,Новосибирск,Розничный,2.4,849866,Лето
1002.23,933,39,9,VIP,Физическое лицо,Бытовая техника,Крупная техника,Приволжский,Казань,Центральный,Москва,Розничный,630.0,218789,Лето
1002.71,819,23,8,B2C,Юридическое лицо,Электроника,Мобильные устройства,Северо-Западный,Санкт-Петербург,Дальневосточный,Владивосток,Розничный,1.36,946208,Осень
1003.15,726,11,7,B2B,Физическое лицо,Бытовая техника,Крупная техника,Южный,Сочи,Сибирский,Новосибирск,Розничный,490.0,522717,Лето
1004.2,968,63,7,B2C,Физическое лицо,Одежда,Мужская,Южный,Сочи,Уральский,Екатеринбург,Розничный,4.899999999999999,34199,Весна
1004.22,955,57,10,B2C,Физическое лицо,Одежда,Унисекс,Северо-Западный,Санкт-Петербург,Приволжский,Казань,Розничный,4.0,417278,Лето
1004.35,551,57,1,B2C,Физическое лицо,Одежда,Мужская,Сибирский,Новосибирск,Северо-Западный,Калининград,Розничный,0.7,590995,Осень
1006.46,687,34,5,B2C,Физическое лицо,Электроника,Аксессуары,Приволжский,Казань,Сибирский,Новосибирск,Оптовый,1.25,992388,Весна
1006.48,886,38,9,VIP,Физическое лицо,Одежда,Унисекс,Центральный,Москва,Сибирский,Новосибирск,Розничный,3.6,367810,Осень
1007.51,867,31,8,B2C,Физическое лицо,Бытовая техника,Малая техника,Сибирский,Новосибирск,Южный,Сочи,Розничный,28.0,708277,Осень
1007.77,652,10,8,B2C,Физическое лицо,Электроника,Компьютеры,Южный,Сочи,Центральный,Нижний Новгород,Розничный,40.0,465889,Весна
1008.8,835,6,2,B2C,Физическое лицо,Бытовая техника,Малая техника,Приволжский,Казань,Приволжский,Казань,Оптовый,18.0,245378,Весна
1008.8,966,55,4,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Приволжский,Казань,Южный,Сочи,Розничный,240.0,641994,Весна
1009.31,906,5,1,VIP,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Южный,Краснодар,Розничный,17.5,562637,Весна
101.09,55,15,4,B2C,Юридическое лицо,Электроника,Мобильные устройства,Приволжский,Казань,Приволжский,Казань,Оптовый,2.0,466085,Весна
101.23,189,49,8,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Приволжский,Казань,Приволжский,Казань,Розничный,560.0,673623,Лето
101.32,94,55,6,B2C,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Уральский,Екатеринбург,Оптовый,3.0,218254,Лето
101.41,83,19,3,B2B,Физическое лицо,Бытовая техника,Малая техника,Центральный,Москва,Южный,Краснодар,Розничный,52.5,219292,Весна
101.9,99,33,3,VIP,Физическое лицо,Электроника,Компьютеры,Приволжский,Казань,Дальневосточный,Владивосток,Оптовый,15.0,480640,Зима
101.94,98,22,9,B2B,Физическое лицо,Электроника,Компьютеры,Южный,Сочи,Центральный,Москва,Розничный,45.0,922308,Лето
1010.51,588,18,6,B2C,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Южный,Краснодар,Оптовый,4.199999999999999,709551,Осень
1010.61,851,65,3,B2C,Физическое лицо,Одежда,Мужская,Приволжский,Казань,Уральский,Екатеринбург,Оптовый,1.5,538503,Осень
1010.64,794,23,4,B2C,Физическое лицо,Одежда,Унисекс,Южный,Сочи,Сибирский,Новосибирск,Розничный,0.72,38922,Весна
1010.86,758,57,2,B2C,Физическое лицо,Бытовая техника,Малая техника,Приволжский,Казань,Дальневосточный,Владивосток,Оптовый,18.0,64535,Весна
1011.69,971,41,10,B2B,Физическое лицо,Одежда,Женская,Южный,Сочи,Северо-Западный,Калининград,Розничный,3.3,743549,Лето
1012.39,984,57,6,B2C,Юридическое лицо,Одежда,Мужская,Сибирский,Новосибирск,Северо-Западный,Калининград,Розничный,3.0,289360,Лето
1013.67,699,23,8,B2C,Физическое лицо,Электроника,Аксессуары,Южный,Сочи,Дальневосточный,Владивосток,Розничный,0.104,183304,Весна
1014.05,570,14,9,B2C,Физическое лицо,Спорттовары,Тренажеры,Центральный,Нижний Новгород,Центральный,Нижний Новгород,Розничный,236.7,538097,Весна
1014.29,889,39,7,B2C,Физическое лицо,Электроника,Аксессуары,Северо-Западный,Санкт-Петербург,Дальневосточный,Владивосток,Розничный,1.75,746167,Лето
1015.14,606,8,3,B2B,Физическое лицо,Одежда,Мужская,Центральный,Москва,Центральный,Нижний Новгород,Розничный,0.8999999999999999,996852,Осень
1016.09,550,9,6,B2B,Физическое лицо,Одежда,Женская,Северо-Западный,Санкт-Петербург,Северо-Западный,Калининград,Розничный,1.8,383875,Весна
1016.65,816,56,7,B2C,Физическое лицо,Электроника,Мобильные устройства,Северо-Западный,Санкт-Петербург,Приволжский,Казань,Розничный,3.5,733368,Зима
1017.15,521,61,2,B2C,Физическое лицо,Одежда,Мужская,Южный,Сочи,Сибирский,Новосибирск,Розничный,1.4,226815,Лето
1017.27,686,70,2,B2B,Физическое лицо,Спорттовары,Тренажеры,Центральный,Нижний Новгород,Приволжский,Казань,Розничный,52.6,189007,Осень
1017.42,902,41,9,B2B,Физическое лицо,Бытовая техника,Крупная техника,Южный,Сочи,Северо-Западный,Калининград,Розничный,630.0,837779,Зима
1018.61,738,30,10,B2C,Физическое лицо,Электроника,Аксессуары,Приволжский,Казань,Южный,Сочи,Розничный,2.5,522707,Лето
1018.67,554,53,5,VIP,Физическое лицо,Одежда,Унисекс,Центральный,Москва,Дальневосточный,Владивосток,Розничный,0.8999999999999999,886157,Лето
1019.54,817,29,9,B2C,Физическое лицо,Одежда,Мужская,Сибирский,Новосибирск,Сибирский,Новосибирск,Розничный,2.7,819499,Зима
102.52,54,5,6,B2B,Физическое лицо,Электроника,Мобильные устройства,Центральный,Москва,Дальневосточный,Владивосток,Розничный,3.0,210673,Осень
102.78,119,57,9,B2B,Физическое лицо,Электроника,Аксессуары,Приволжский,Казань,Сибирский,Новосибирск,Розничный,0.27,996006,Осень
102.87,160,1,5,B2C,Физическое лицо,Одежда,Унисекс,Южный,Сочи,Северо-Западный,Санкт-Петербург,Розничный,0.8999999999999999,698823,Осень
1020.11,684,45,10,B2C,Физическое лицо,Спорттовары,Тренажеры,Центральный,Москва,Северо-Западный,Санкт-Петербург,Розничный,263.0,482177,Осень
1020.62,997,6,6,VIP,Физическое лицо,Одежда,Мужская,Центральный,Москва,Уральский,Екатеринбург,Розничный,4.199999999999999,650807,Лето
1020.77,942,27,7,B2B,Физическое лицо,Бытовая техника,Малая техника,Северо-Западный,Санкт-Петербург,Сибирский,Новосибирск,Розничный,21.35,332314,Весна
1020.99,717,65,9,B2B,Физическое лицо,Одежда,Мужская,Северо-Западный,Санкт-Петербург,Северо-Западный,Санкт-Петербург,Розничный,4.5,567968,Лето
1022.5,996,15,5,B2C,Юридическое лицо,Одежда,Женская,Южный,Сочи,Приволжский,Казань,Розничный,3.0,42017,Лето
1022.54,688,69,1,VIP,Физическое лицо,Электроника,Компьютеры,Северо-Западный,Санкт-Петербург,Приволжский,Казань,Розничный,10.0,455286,Весна
1022.57,729,66,3,B2C,Физическое лицо,Бытовая техника,Малая техника,Приволжский,Казань,Южный,Сочи,Оптовый,52.5,382883,Лето
1022.65,711,53,9,B2C,Физическое лицо,Электроника,Компьютеры,Приволжский,Казань,Дальневосточный,Владивосток,Оптовый,19.8,555704,Лето
1022.84,996,13,5,B2C,Физическое лицо,Одежда,Женская,Центральный,Москва,Южный,Сочи,Розничный,1.5,183899,Осень
1023.18,788,57,6,B2B,Физическое лицо,Бытовая техника,Крупная техника,Приволжский,Казань,Центральный,Нижний Новгород,Оптовый,360.0,533972,Лето
1024.5,599,41,8,B2C,Физическое лицо,Одежда,Унисекс,Южный,Сочи,Дальневосточный,Владивосток,Розничный,3.2,697662,Весна
1024.66,554,1,3,B2C,Физическое лицо,Бытовая техника,Малая техника,Приволжский,Казань,Центральный,Нижний Новгород,Оптовый,27.0,180558,Зима
1025.42,683,36,9,VIP,Физическое лицо,Одежда,Женская,Приволжский,Казань,Сибирский,Новосибирск,Оптовый,5.399999999999999,784902,Весна
1025.46,960,47,10,B2C,Физическое лицо,Бытовая техника,Крупная техника,Южный,Сочи,Центральный,Нижний Новгород,Розничный,600.0,589528,Осень
1026.08,530,39,9,B2C,Физическое лицо,Спорттовары,Тренажеры,Северо-Западный,Санкт-Петербург,Центральный,Нижний Новгород,Розничный,657.0,820343,Зима
1026.09,751,55,9,B2C,Физическое лицо,Электроника,Аксессуары,Центральный,Москва,Северо-Западный,Санкт-Петербург,Розничный,0.117,880084,Осень
1027.04,971,39,8,B2C,Физическое лицо,Электроника,Аксессуары,Южный,Сочи,Северо-Западный,Санкт-Петербург,Розничный,2.0,310186,Зима
1028.12,569,20,10,B2C,Физическое лицо,Бытовая техника,Малая техника,Центральный,Москва,Приволжский,Казань,Розничный,30.5,829346,Весна
1029.08,637,59,2,B2C,Физическое лицо,Одежда,Женская,Приволжский,Казань,Уральский,Екатеринбург,Оптовый,1.2,502285,Весна
1029.93,768,35,1,VIP,Физическое лицо,Бытовая техника,Малая техника,Центральный,Нижний Новгород,Приволжский,Казань,Розничный,9.0,749951,Весна
103.03,181,68,6,B2B,Физическое лицо,Одежда,Унисекс,Сибирский,Новосибирск,Дальневосточный,Владивосток,Розничный,1.08,225001,Зима
103.2,114,64,7,B2C,Физическое лицо,Спорттовары,Тренажеры,Северо-Западный,Санкт-Петербург,Уральский,Екатеринбург,Розничный,511.0,42508,Зима
103.83,124,55,5,B2C,Физическое лицо,Электроника,Компьютеры,Центральный,Нижний Новгород,Сибирский,Новосибирск,Розничный,25.0,734834,Зима
1031.73,713,53,7,B2B,Физическое лицо,Бытовая техника,Крупная техника,Южный,Сочи,Южный,Краснодар,Розничный,420.0,807323,Весна
1031.97,862,13,4,B2C,Физическое лицо,Электроника,Компьютеры,Южный,Сочи,Сибирский,Новосибирск,Розничный,8.8,587738,Весна
1032.03,648,54,8,B2C,Физическое лицо,Электроника,Компьютеры,Центральный,Нижний Новгород,Центральный,Нижний Новгород,Розничный,17.6,473823,Зима
1032.41,879,37,2,B2C,Физическое лицо,Электроника,Аксессуары,Сибирский,Новосибирск,Дальневосточный,Владивосток,Розничный,0.5,661078,Зима
1032.96,710,35,10,B2C,Юридическое лицо,Одежда,Мужская,Центральный,Москва,Дальневосточный,Владивосток,Розничный,5.0,741822,Весна
1033.59,647,25,9,B2C,Физическое лицо,Электроника,Компьютеры,Центральный,Москва,Сибирский,Новосибирск,Розничный,90.0,915180,Осень
1034.81,589,29,8,VIP,Юридическое лицо,Бытовая техника,Крупная техника,Северо-Западный,Санкт-Петербург,Приволжский,Казань,Розничный,480.0,890345,Лето
1034.86,633,32,9,B2C,Физическое лицо,Бытовая техника,Малая техника,Южный,Сочи,Южный,Сочи,Розничный,8.82,141359,Весна
1035.02,699,14,9,B2C,Физическое лицо,Бытовая техника,Малая техника,Центральный,Нижний Новгород,Уральский,Екатеринбург,Розничный,81.0,459535,Лето
1035.06,760,31,4,B2C,Физическое лицо,Электроника,Аксессуары,Южный,Сочи,Северо-Западный,Санкт-Петербург,Розничный,1.0,575176,Весна
1035.38,974,59,7,B2B,Физическое лицо,Электроника,Компьютеры,Южный,Сочи,Центральный,Москва,Розничный,35.0,81357,Зима
