,cost,distance,delivery_time_hours,quantity,transport_mode,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
1223,1134.16,577,25,7,ЖД,B2C,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Краснодар,Розничный,2023-01-01 02:25:00,2023-01-02 03:25:00,35.0,Зима,Зима
11455,522.22,602,28,5,Авиа,B2C,Физическое лицо,Одежда,Унисекс,Нижний Новгород,Краснодар,Розничный,2023-01-01 02:54:00,2023-01-02 06:54:00,3.0,Зима,Зима
9160,395.7,244,20,1,ЖД,B2C,Юридическое лицо,Бытовая техника,Малая техника,Сочи,Владивосток,Розничный,2023-01-01 03:39:00,2023-01-01 23:39:00,0.98,Зима,Зима
4583,168.4,192,45,9,Авиа,B2B,Юридическое лицо,Бытовая техника,Малая техника,Казань,Санкт-Петербург,Оптовый,2023-01-01 04:11:00,2023-01-03 01:11:00,8.82,Зима,Зима
8491,36.52,22,60,4,Авиа,B2C,Физическое лицо,Электроника,Компьютеры,Сочи,Новосибирск,Розничный,2023-01-01 05:01:00,2023-01-03 17:01:00,20.0,Зима,Зима
4070,1567.32,801,12,8,Авиа,B2B,Физическое лицо,Одежда,Унисекс,Сочи,Казань,Розничный,2023-01-01 06:01:00,2023-01-01 18:01:00,4.8,Зима,Зима
16540,871.96,724,35,8,Авиа,B2C,Юридическое лицо,Электроника,Мобильные устройства,Казань,Казань,Розничный,2023-01-01 06:44:00,2023-01-02 17:44:00,1.36,Зима,Зима
469,1047.95,753,32,5,Авиа,B2C,Юридическое лицо,Электроника,Аксессуары,Москва,Владивосток,Розничный,2023-01-01 07:14:00,2023-01-02 15:14:00,0.15,Зима,Зима
13421,640.32,380,36,2,Морской,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Санкт-Петербург,Розничный,2023-01-01 08:14:00,2023-01-02 20:14:00,6.1,Зима,Зима
891,1094.42,555,68,5,Авиа,B2C,Физическое лицо,Электроника,Мобильные устройства,Сочи,Владивосток,Розничный,2023-01-01 09:10:00,2023-01-04 05:10:00,0.8500000000000001,Зима,Зима
11846,544.7,296,32,8,Авиа,B2B,Юридическое лицо,Одежда,Мужская,Сочи,Санкт-Петербург,Розничный,2023-01-01 10:01:00,2023-01-02 18:01:00,5.6,Зима,Зима
16354,856.34,841,25,9,Морской,VIP,Физическое лицо,Бытовая техника,Малая техника,Новосибирск,Владивосток,Розничный,2023-01-01 10:44:00,2023-01-02 11:44:00,8.82,Зима,Зима
5509,198.09,108,6,1,Грузовик,VIP,Физическое лицо,Одежда,Женская,Новосибирск,Новосибирск,Розничный,2023-01-01 10:56:00,2023-01-01 16:56:00,0.33,Зима,Зима
1865,1214.55,631,56,9,Авиа,B2C,Физическое лицо,Одежда,Женская,Казань,Сочи,Оптовый,2023-01-01 11:39:00,2023-01-03 19:39:00,2.7,Зима,Зима
5824,214.78,141,42,9,ЖД,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Краснодар,Розничный,2023-01-01 11:41:00,2023-01-03 05:41:00,1.62,Зима,Зима
6938,274.85,330,5,2,Морской,B2C,Физическое лицо,Одежда,Женская,Нижний Новгород,Казань,Розничный,2023-01-01 12:43:00,2023-01-01 17:43:00,0.66,Зима,Зима
11617,531.12,563,63,4,ЖД,B2C,Физическое лицо,Бытовая техника,Малая техника,Сочи,Казань,Розничный,2023-01-01 14:04:00,2023-01-04 05:04:00,36.0,Зима,Зима
15772,809.59,925,37,8,Грузовик,B2C,Физическое лицо,Электроника,Компьютеры,Новосибирск,Екатеринбург,Розничный,2023-01-01 14:23:00,2023-01-03 03:23:00,40.0,Зима,Зима
882,1093.28,826,61,9,Грузовик,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Краснодар,Розничный,2023-01-01 14:25:00,2023-01-04 03:25:00,2.25,Зима,Зима
6473,25.48,28,22,2,Морской,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Казань,Розничный,2023-01-01 15:27:00,2023-01-02 13:27:00,0.5,Зима,Зима
9299,402.74,335,59,9,ЖД,B2B,Физическое лицо,Одежда,Унисекс,Москва,Владивосток,Розничный,2023-01-01 16:02:00,2023-01-04 03:02:00,3.6,Зима,Зима
7942,331.69,226,9,2,Авиа,B2B,Физическое лицо,Бытовая техника,Малая техника,Сочи,Владивосток,Розничный,2023-01-01 16:07:00,2023-01-02 01:07:00,18.0,Зима,Зима
