cost,distance,delivery_time_hours,quantity,transport_mode,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
10.25,17,8,5,Авиа,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Екатеринбург,Розничный,2023-10-16 23:21:00,2023-10-17 07:21:00,1.5,Осень,Осень
10.28,18,69,5,Грузовик,B2B,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Новосибирск,Розничный,2023-08-06 08:04:00,2023-08-09 05:04:00,0.8999999999999999,Лето,Лето
100.81,111,32,6,Грузовик,B2C,Юридическое лицо,Электроника,Аксессуары,Санкт-Петербург,Нижний Новгород,Розничный,2023-02-18 17:24:00,2023-02-20 01:24:00,1.5,Зима,Зима
1002.56,812,65,10,Авиа,B2B,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Нижний Новгород,Розничный,2023-07-23 19:08:00,2023-07-26 12:08:00,700.0,Лето,Лето
1002.71,819,23,8,Морской,B2C,Юридическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Владивосток,Розничный,2023-09-19 06:20:00,2023-09-20 05:20:00,1.36,Осень,Осень
1002.98,960,57,3,Авиа,B2B,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Владивосток,Розничный,2023-03-12 05:30:00,2023-03-14 14:30:00,0.51,Весна,Весна
1004.22,955,57,10,Морской,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Казань,Розничный,2023-07-31 15:08:00,2023-08-03 00:08:00,4.0,Лето,Лето
1005.34,988,45,10,Грузовик,B2C,Юридическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Екатеринбург,Розничный,2023-12-05 07:51:00,2023-12-07 04:51:00,263.0,Зима,Зима
1007.32,520,63,7,Авиа,B2B,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Калининград,Розничный,2023-06-19 02:26:00,2023-06-21 17:26:00,1.75,Лето,Лето
1007.6,545,43,6,Грузовик,B2B,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Новосибирск,Розничный,2023-04-06 14:21:00,2023-04-08 09:21:00,157.8,Весна,Весна
1009.49,973,22,5,Авиа,B2B,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Калининград,Розничный,2023-12-12 21:47:00,2023-12-13 19:47:00,87.5,Зима,Зима
101.14,118,36,10,ЖД,VIP,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Краснодар,Розничный,2023-11-27 15:11:00,2023-11-29 03:11:00,50.0,Осень,Осень
