cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
10.1,13,48,9,B2B,Физическое лицо,Спорттовары,Тренажеры,Сочи,Екатеринбург,Розничный,2023-03-25 09:18:00,2023-03-27 09:18:00,657.0,Весна,Весна
10.25,17,8,5,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Екатеринбург,Розничный,2023-10-16 23:21:00,2023-10-17 07:21:00,1.5,Осень,Осень
10.75,7,22,8,B2C,Физическое лицо,Спорттовары,Тренажеры,Сочи,Краснодар,Розничный,2023-12-19 03:45:00,2023-12-20 01:45:00,210.4,Зима,Зима
100.5,175,10,10,B2C,Физическое лицо,Бытовая техника,Малая техника,Сочи,Санкт-Петербург,Розничный,2023-05-02 11:02:00,2023-05-02 21:02:00,30.5,Весна,Весна
100.52,73,64,3,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Сочи,Розничный,2023-03-16 06:15:00,2023-03-18 22:15:00,0.75,Весна,Весна
1001.34,735,58,9,B2C,Физическое лицо,Одежда,Унисекс,Новосибирск,Москва,Розничный,2023-03-14 00:49:00,2023-03-16 10:49:00,1.62,Весна,Весна
1001.71,518,41,7,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Екатеринбург,Розничный,2023-04-24 04:52:00,2023-04-25 21:52:00,0.091,Весна,Весна
1001.94,526,10,10,B2C,Юридическое лицо,Спорттовары,Тренажеры,Сочи,Сочи,Розничный,2023-12-03 13:07:00,2023-12-03 23:07:00,263.0,Зима,Зима
1002.44,628,54,8,B2B,Физическое лицо,Электроника,Аксессуары,Москва,Москва,Розничный,2023-10-08 11:35:00,2023-10-10 17:35:00,2.0,Осень,Осень
1002.56,812,65,10,B2B,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Нижний Новгород,Розничный,2023-07-23 19:08:00,2023-07-26 12:08:00,700.0,Лето,Лето
1002.98,960,57,3,B2B,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Владивосток,Розничный,2023-03-12 05:30:00,2023-03-14 14:30:00,0.51,Весна,Весна
1003.85,823,8,6,B2C,Физическое лицо,Бытовая техника,Крупная техника,Нижний Новгород,Краснодар,Розничный,2023-08-19 13:18:00,2023-08-19 21:18:00,420.0,Лето,Лето
1004.72,721,68,7,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Москва,Розничный,2023-11-25 01:27:00,2023-11-27 21:27:00,24.5,Осень,Осень
1005.8,575,9,8,B2C,Физическое лицо,Спорттовары,Тренажеры,Казань,Краснодар,Оптовый,2023-08-05 02:54:00,2023-08-05 11:54:00,210.4,Лето,Лето
1006.01,720,49,1,B2C,Физическое лицо,Электроника,Аксессуары,Москва,Санкт-Петербург,Розничный,2023-04-10 21:41:00,2023-04-12 22:41:00,0.25,Весна,Весна
1007.04,773,18,10,B2C,Физическое лицо,Одежда,Мужская,Казань,Москва,Оптовый,2023-10-06 15:33:00,2023-10-07 09:33:00,5.0,Осень,Осень
1007.32,520,63,7,B2B,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Калининград,Розничный,2023-06-19 02:26:00,2023-06-21 17:26:00,1.75,Лето,Лето
1007.61,654,38,5,VIP,Физическое лицо,Бытовая техника,Крупная техника,Казань,Казань,Розничный,2023-07-28 23:09:00,2023-07-30 13:09:00,300.0,Лето,Лето
1009.02,805,44,6,B2C,Физическое лицо,Одежда,Женская,Сочи,Краснодар,Розничный,2023-11-07 21:03:00,2023-11-09 17:03:00,1.98,Осень,Осень
1009.23,646,63,4,B2B,Физическое лицо,Одежда,Женская,Нижний Новгород,Москва,Розничный,2023-05-17 01:58:00,2023-05-19 16:58:00,1.2,Весна,Весна
1009.27,526,28,7,B2C,Физическое лицо,Электроника,Компьютеры,Сочи,Казань,Розничный,2023-12-18 17:48:00,2023-12-19 21:48:00,70.0,Зима,Зима
1009.37,749,4,8,VIP,Физическое лицо,Бытовая техника,Малая техника,Казань,Казань,Розничный,2023-05-18 07:14:00,2023-05-18 11:14:00,24.4,Весна,Весна
1009.49,973,22,5,B2B,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Калининград,Розничный,2023-12-12 21:47:00,2023-12-13 19:47:00,87.5,Зима,Зима
101.17,115,32,1,VIP,Физическое лицо,Электроника,Компьютеры,Казань,Екатеринбург,Оптовый,2023-05-26 13:23:00,2023-05-27 21:23:00,10.0,Весна,Весна
101.3,74,3,9,B2C,Физическое лицо,Спорттовары,Тренажеры,Казань,Москва,Розничный,2023-05-21 09:35:00,2023-05-21 12:35:00,236.7,Весна,Весна
101.47,63,25,6,B2C,Физическое лицо,Электроника,Компьютеры,Нижний Новгород,Краснодар,Розничный,2023-06-20 19:13:00,2023-06-21 20:13:00,13.2,Лето,Лето
101.56,65,69,8,B2C,Физическое лицо,Бытовая техника,Малая техника,Сочи,Владивосток,Розничный,2023-04-18 16:22:00,2023-04-21 13:22:00,140.0,Весна,Весна
101.78,112,46,6,B2C,Юридическое лицо,Электроника,Компьютеры,Казань,Нижний Новгород,Оптовый,2023-01-16 19:53:00,2023-01-18 17:53:00,13.2,Зима,Зима
101.86,195,25,2,B2C,Физическое лицо,Электроника,Мобильные устройства,Нижний Новгород,Владивосток,Розничный,2023-03-24 18:04:00,2023-03-25 19:04:00,0.34,Весна,Весна
101.93,64,1,5,B2B,Юридическое лицо,Электроника,Аксессуары,Новосибирск,Санкт-Петербург,Розничный,2023-06-17 02:34:00,2023-06-17 03:34:00,1.25,Лето,Лето
101.97,92,12,7,B2B,Физическое лицо,Бытовая техника,Малая техника,Москва,Санкт-Петербург,Розничный,2023-05-01 02:16:00,2023-05-01 14:16:00,24.5,Весна,Весна
101.98,123,43,10,B2C,Физическое лицо,Одежда,Унисекс,Казань,Калининград,Оптовый,2023-03-09 20:55:00,2023-03-11 15:55:00,1.7999999999999998,Весна,Весна
1010.53,532,6,1,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Новосибирск,Оптовый,2023-09-19 17:21:00,2023-09-19 23:21:00,0.25,Осень,Осень
1010.8,837,60,9,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Нижний Новгород,Розничный,2023-12-07 23:14:00,2023-12-10 11:14:00,3.6,Зима,Зима
1010.87,981,17,6,B2B,Физическое лицо,Одежда,Мужская,Казань,Новосибирск,Оптовый,2023-05-24 10:49:00,2023-05-25 03:49:00,1.7999999999999998,Весна,Весна
1012.76,877,23,5,B2C,Физическое лицо,Одежда,Мужская,Казань,Казань,Розничный,2023-05-20 10:11:00,2023-05-21 09:11:00,2.5,Весна,Весна
1013.48,923,42,6,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Владивосток,Розничный,2023-07-29 11:55:00,2023-07-31 05:55:00,54.0,Лето,Лето
1014.54,550,44,10,B2C,Физическое лицо,Одежда,Женская,Казань,Казань,Розничный,2023-11-09 19:09:00,2023-11-11 15:09:00,3.3000000000000003,Осень,Осень
1014.69,950,61,9,B2B,Юридическое лицо,Бытовая техника,Малая техника,Новосибирск,Новосибирск,Розничный,2023-06-30 08:15:00,2023-07-02 21:15:00,8.82,Лето,Лето
1015.22,537,34,1,B2C,Физическое лицо,Бытовая техника,Малая техника,Санкт-Петербург,Екатеринбург,Розничный,2023-08-02 06:55:00,2023-08-03 16:55:00,0.98,Лето,Лето
1015.64,779,4,2,B2C,Физическое лицо,Бытовая техника,Малая техника,Нижний Новгород,Краснодар,Розничный,2023-02-12 04:24:00,2023-02-12 08:24:00,6.1,Зима,Зима
1015.76,601,31,10,B2C,Физическое лицо,Электроника,Мобильные устройства,Сочи,Нижний Новгород,Розничный,2023-09-13 16:37:00,2023-09-14 23:37:00,5.0,Осень,Осень
1015.94,668,48,7,B2C,Физическое лицо,Спорттовары,Тренажеры,Санкт-Петербург,Нижний Новгород,Розничный,2023-05-23 18:54:00,2023-05-25 18:54:00,184.1,Весна,Весна
1016.02,797,7,1,B2C,Физическое лицо,Спорттовары,Тренажеры,Сочи,Санкт-Петербург,Розничный,2023-11-18 05:35:00,2023-11-18 12:35:00,26.3,Осень,Осень
1016.26,988,26,8,B2C,Физическое лицо,Электроника,Компьютеры,Казань,Санкт-Петербург,Оптовый,2023-06-15 03:01:00,2023-06-16 05:01:00,80.0,Лето,Лето
1016.37,992,62,9,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Владивосток,Розничный,2023-07-06 11:07:00,2023-07-09 01:07:00,27.45,Лето,Лето
1016.52,591,66,8,B2C,Физическое лицо,Одежда,Мужская,Нижний Новгород,Санкт-Петербург,Розничный,2023-12-15 23:02:00,2023-12-18 17:02:00,4.0,Зима,Зима
1017.05,642,70,1,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Калининград,Розничный,2023-12-05 22:42:00,2023-12-08 20:42:00,0.5,Зима,Зима
1017.44,748,37,4,B2C,Физическое лицо,Бытовая техника,Крупная техника,Новосибирск,Новосибирск,Розничный,2023-07-26 06:17:00,2023-07-27 19:17:00,280.0,Лето,Лето
1017.57,824,29,6,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Нижний Новгород,Оптовый,2023-05-12 21:53:00,2023-05-14 02:53:00,21.0,Весна,Весна
1018.74,669,5,1,B2C,Физическое лицо,Одежда,Унисекс,Москва,Калининград,Розничный,2023-12-03 13:57:00,2023-12-03 18:57:00,0.6,Зима,Зима
1019.12,959,36,5,B2C,Физическое лицо,Электроника,Компьютеры,Казань,Санкт-Петербург,Оптовый,2023-11-13 06:50:00,2023-11-14 18:50:00,11.0,Осень,Осень
1019.43,516,6,1,B2B,Физическое лицо,Одежда,Унисекс,Сочи,Нижний Новгород,Розничный,2023-12-02 11:43:00,2023-12-02 17:43:00,0.18,Зима,Зима
102.15,84,37,7,B2C,Физическое лицо,Одежда,Мужская,Казань,Казань,Оптовый,2023-01-25 20:28:00,2023-01-27 09:28:00,3.5,Зима,Зима
102.48,193,60,8,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Нижний Новгород,Оптовый,2023-11-12 03:54:00,2023-11-14 15:54:00,140.0,Осень,Осень
102.57,68,8,7,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Калининград,Розничный,2023-08-19 07:48:00,2023-08-19 15:48:00,63.0,Лето,Лето
102.71,78,58,1,VIP,Физическое лицо,Бытовая техника,Крупная техника,Казань,Москва,Розничный,2023-02-07 15:35:00,2023-02-10 01:35:00,70.0,Зима,Зима
102.83,77,27,5,B2B,Физическое лицо,Одежда,Женская,Казань,Сочи,Розничный,2023-10-03 10:48:00,2023-10-04 13:48:00,1.5,Осень,Осень
102.89,75,35,8,B2C,Юридическое лицо,Бытовая техника,Малая техника,Казань,Санкт-Петербург,Оптовый,2023-07-29 02:44:00,2023-07-30 13:44:00,140.0,Лето,Лето
1020.44,777,62,3,B2C,Физическое лицо,Одежда,Женская,Нижний Новгород,Сочи,Розничный,2023-11-20 23:36:00,2023-11-23 13:36:00,0.8999999999999999,Осень,Осень
1020.54,779,35,4,VIP,Юридическое лицо,Электроника,Аксессуары,Сочи,Калининград,Розничный,2023-09-24 01:21:00,2023-09-25 12:21:00,1.0,Осень,Осень
1020.77,571,49,9,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Краснодар,Розничный,2023-07-31 06:31:00,2023-08-02 07:31:00,2.25,Лето,Лето
1020.84,989,21,1,B2C,Физическое лицо,Спорттовары,Тренажеры,Москва,Казань,Розничный,2023-12-10 09:26:00,2023-12-11 06:26:00,26.3,Зима,Зима
1020.86,994,24,4,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Краснодар,Оптовый,2023-03-29 11:19:00,2023-03-30 11:19:00,12.2,Весна,Весна
1021.13,758,15,9,B2C,Физическое лицо,Спорттовары,Тренажеры,Сочи,Нижний Новгород,Розничный,2023-07-20 00:18:00,2023-07-20 15:18:00,236.7,Лето,Лето
1022.42,647,33,9,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Казань,Розничный,2023-11-23 23:40:00,2023-11-25 08:40:00,2.97,Осень,Осень
1023.5,688,47,5,B2C,Физическое лицо,Бытовая техника,Малая техника,Нижний Новгород,Нижний Новгород,Розничный,2023-04-14 06:12:00,2023-04-16 05:12:00,17.5,Весна,Весна
1024.6,584,52,3,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Нижний Новгород,Розничный,2023-02-23 19:38:00,2023-02-25 23:38:00,27.0,Зима,Зима
1024.86,868,45,1,B2B,Физическое лицо,Одежда,Унисекс,Москва,Санкт-Петербург,Розничный,2023-08-14 19:14:00,2023-08-16 16:14:00,0.6,Лето,Лето
1025.9,813,67,2,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Нижний Новгород,Розничный,2023-02-11 03:38:00,2023-02-13 22:38:00,0.5,Зима,Зима
1025.94,664,39,2,B2C,Физическое лицо,Бытовая техника,Крупная техника,Москва,Санкт-Петербург,Розничный,2023-06-30 10:29:00,2023-07-02 01:29:00,140.0,Лето,Лето
1026.0,779,27,2,B2C,Физическое лицо,Одежда,Женская,Санкт-Петербург,Новосибирск,Розничный,2023-03-07 11:43:00,2023-03-08 14:43:00,0.66,Весна,Весна
1027.04,824,24,5,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Санкт-Петербург,Розничный,2023-12-09 13:48:00,2023-12-10 13:48:00,0.15,Зима,Зима
1027.62,737,25,8,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Екатеринбург,Оптовый,2023-02-26 05:56:00,2023-02-27 06:56:00,28.0,Зима,Зима
1028.85,795,59,2,B2C,Юридическое лицо,Одежда,Женская,Москва,Новосибирск,Розничный,2023-06-11 01:03:00,2023-06-13 12:03:00,0.6,Лето,Лето
1028.88,932,35,5,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Новосибирск,Розничный,2023-02-07 14:10:00,2023-02-09 01:10:00,87.5,Зима,Зима
1029.14,659,26,9,B2B,Юридическое лицо,Одежда,Женская,Казань,Санкт-Петербург,Оптовый,2023-08-06 20:56:00,2023-08-07 22:56:00,5.4,Лето,Лето
1029.4,577,40,4,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Владивосток,Оптовый,2023-09-19 22:32:00,2023-09-21 14:32:00,1.0,Осень,Осень
1029.94,532,58,9,B2C,Физическое лицо,Бытовая техника,Крупная техника,Новосибирск,Екатеринбург,Розничный,2023-11-15 09:53:00,2023-11-17 19:53:00,630.0,Осень,Осень
103.24,187,22,3,B2C,Физическое лицо,Одежда,Унисекс,Нижний Новгород,Владивосток,Розничный,2023-02-10 10:08:00,2023-02-11 08:08:00,0.54,Зима,Зима
103.44,74,31,8,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Нижний Новгород,Владивосток,Розничный,2023-04-17 10:28:00,2023-04-18 17:28:00,560.0,Весна,Весна
