cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
10.26,15,23,9,B2C,Юридическое лицо,Одежда,Унисекс,Казань,Екатеринбург,Розничный,2024-01-01 03:08:00,2024-01-02 02:08:00,3.6,Зима,Зима
10.28,18,69,5,B2B,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Новосибирск,Розничный,2023-08-06 08:04:00,2023-08-09 05:04:00,0.8999999999999999,Лето,Лето
10.44,6,48,7,B2C,Физическое лицо,Одежда,Мужская,Москва,Калининград,Розничный,2023-06-23 18:37:00,2023-06-25 18:37:00,2.1,Лето,Лето
10.66,8,7,8,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Казань,Розничный,2023-08-10 18:51:00,2023-08-11 01:51:00,0.104,Лето,Лето
10.68,6,20,6,B2C,Юридическое лицо,Бытовая техника,Малая техника,Сочи,Москва,Розничный,2023-08-20 09:37:00,2023-08-21 05:37:00,5.88,Лето,Лето
100.39,191,33,8,B2C,Физическое лицо,Бытовая техника,Крупная техника,Москва,Казань,Розничный,2023-02-02 04:20:00,2023-02-03 13:20:00,480.0,Зима,Зима
100.56,76,37,8,VIP,Физическое лицо,Спорттовары,Тренажеры,Сочи,Владивосток,Розничный,2023-03-23 11:34:00,2023-03-25 00:34:00,210.4,Весна,Весна
100.81,111,32,6,B2C,Юридическое лицо,Электроника,Аксессуары,Санкт-Петербург,Нижний Новгород,Розничный,2023-02-18 17:24:00,2023-02-20 01:24:00,1.5,Зима,Зима
100.98,169,47,1,B2C,Физическое лицо,Бытовая техника,Крупная техника,Нижний Новгород,Екатеринбург,Розничный,2023-05-17 23:54:00,2023-05-19 22:54:00,60.0,Весна,Весна
1000.25,834,42,3,B2B,Физическое лицо,Бытовая техника,Крупная техника,Нижний Новгород,Калининград,Розничный,2023-10-01 00:50:00,2023-10-02 18:50:00,180.0,Осень,Осень
