,cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
313,1134.16,577,25,7,B2C,Физическое лицо,Электроника,Компьютеры,Санкт-Петербург,Краснодар,Розничный,2023-01-01 02:25:00,2023-01-02 03:25:00,35.0,Зима,Зима
2279,395.7,244,20,1,B2C,Юридическое лицо,Бытовая техника,Малая техника,Сочи,Владивосток,Розничный,2023-01-01 03:39:00,2023-01-01 23:39:00,0.98,Зима,Зима
1456,214.78,141,42,9,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Краснодар,Розничный,2023-01-01 11:41:00,2023-01-03 05:41:00,1.62,Зима,Зима
2893,531.12,563,63,4,B2C,Физическое лицо,Бытовая техника,Малая техника,Сочи,Казань,Розничный,2023-01-01 14:04:00,2023-01-04 05:04:00,36.0,Зима,Зима
2313,402.74,335,59,9,B2B,Физическое лицо,Одежда,Унисекс,Москва,Владивосток,Розничный,2023-01-01 16:02:00,2023-01-04 03:02:00,3.6,Зима,Зима
2349,410.09,503,6,3,VIP,Юридическое лицо,Бытовая техника,Малая техника,Новосибирск,Калининград,Розничный,2023-01-01 17:06:00,2023-01-01 23:06:00,10.5,Зима,Зима
1478,219.41,220,33,5,B2C,Физическое лицо,Одежда,Женская,Москва,Сочи,Розничный,2023-01-01 21:47:00,2023-01-03 06:47:00,1.5,Зима,Зима
1819,299.89,233,25,10,B2B,Физическое лицо,Электроника,Аксессуары,Новосибирск,Казань,Розничный,2023-01-01 23:15:00,2023-01-03 00:15:00,0.3,Зима,Зима
2403,421.25,528,72,2,B2C,Физическое лицо,Одежда,Мужская,Сочи,Москва,Розничный,2023-01-01 23:59:00,2023-01-04 23:59:00,1.4,Зима,Зима
42,1017.03,880,25,7,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Новосибирск,Розничный,2023-01-02 00:43:00,2023-01-03 01:43:00,122.5,Зима,Зима
1682,268.19,136,14,1,B2C,Физическое лицо,Спорттовары,Тренажеры,Казань,Новосибирск,Оптовый,2023-01-02 01:08:00,2023-01-02 15:08:00,26.3,Зима,Зима
3339,64.9,121,22,6,B2C,Физическое лицо,Одежда,Мужская,Новосибирск,Екатеринбург,Розничный,2023-01-02 01:16:00,2023-01-02 23:16:00,3.0,Зима,Зима
4321,929.75,476,3,4,B2C,Юридическое лицо,Электроника,Мобильные устройства,Новосибирск,Новосибирск,Розничный,2023-01-02 02:00:00,2023-01-02 05:00:00,0.68,Зима,Зима
338,1148.59,804,3,4,B2C,Физическое лицо,Одежда,Мужская,Нижний Новгород,Нижний Новгород,Розничный,2023-01-02 05:46:00,2023-01-02 08:46:00,2.8,Зима,Зима
561,1263.42,893,43,4,B2B,Физическое лицо,Одежда,Женская,Казань,Сочи,Розничный,2023-01-02 07:28:00,2023-01-04 02:28:00,2.4,Зима,Зима
3116,585.51,331,48,6,B2C,Физическое лицо,Одежда,Унисекс,Новосибирск,Екатеринбург,Розничный,2023-01-02 16:10:00,2023-01-04 16:10:00,2.4000000000000004,Зима,Зима
1285,183.23,218,72,6,B2B,Физическое лицо,Одежда,Мужская,Казань,Новосибирск,Оптовый,2023-01-02 18:31:00,2023-01-05 18:31:00,3.0,Зима,Зима
156,1068.43,836,57,3,B2C,Физическое лицо,Бытовая техника,Малая техника,Новосибирск,Москва,Розничный,2023-01-02 19:57:00,2023-01-05 04:57:00,2.94,Зима,Зима
1887,313.52,189,21,7,B2C,Юридическое лицо,Одежда,Женская,Казань,Нижний Новгород,Оптовый,2023-01-02 21:18:00,2023-01-03 18:18:00,2.31,Зима,Зима
2198,380.58,256,60,8,B2C,Физическое лицо,Электроника,Компьютеры,Нижний Новгород,Калининград,Розничный,2023-01-03 03:28:00,2023-01-05 15:28:00,17.6,Зима,Зима
3569,701.9,448,45,10,B2C,Юридическое лицо,Электроника,Компьютеры,Казань,Владивосток,Розничный,2023-01-03 03:48:00,2023-01-05 00:48:00,100.0,Зима,Зима
1716,273.18,147,25,3,B2B,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Сочи,Розничный,2023-01-03 10:00:00,2023-01-04 11:00:00,1.2000000000000002,Зима,Зима
2921,538.38,615,71,3,B2C,Юридическое лицо,Одежда,Унисекс,Новосибирск,Казань,Розничный,2023-01-03 10:31:00,2023-01-06 09:31:00,1.7999999999999998,Зима,Зима
1541,232.6,178,58,7,B2C,Физическое лицо,Одежда,Унисекс,Казань,Краснодар,Розничный,2023-01-03 10:33:00,2023-01-05 20:33:00,2.8000000000000003,Зима,Зима
1593,249.73,252,2,7,B2C,Физическое лицо,Одежда,Женская,Казань,Санкт-Петербург,Розничный,2023-01-03 13:48:00,2023-01-03 15:48:00,2.1,Зима,Зима
2241,388.0,609,1,7,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Нижний Новгород,Розничный,2023-01-03 15:24:00,2023-01-03 16:24:00,6.859999999999999,Зима,Зима
