,cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
3334,640.32,380,36,2,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Санкт-Петербург,Розничный,2023-01-01 08:14:00,2023-01-02 20:14:00,6.1,Зима,Зима
4049,856.34,841,25,9,VIP,Физическое лицо,Бытовая техника,Малая техника,Новосибирск,Владивосток,Розничный,2023-01-01 10:44:00,2023-01-02 11:44:00,8.82,Зима,Зима
1757,274.85,330,5,2,B2C,Физическое лицо,Одежда,Женская,Нижний Новгород,Казань,Розничный,2023-01-01 12:43:00,2023-01-01 17:43:00,0.66,Зима,Зима
1632,25.48,28,22,2,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Казань,Розничный,2023-01-01 15:27:00,2023-01-02 13:27:00,0.5,Зима,Зима
804,1408.92,982,60,1,B2C,Физическое лицо,Бытовая техника,Крупная техника,Москва,Сочи,Розничный,2023-01-01 18:10:00,2023-01-04 06:10:00,60.0,Зима,Зима
4133,883.21,861,50,9,B2B,Физическое лицо,Одежда,Мужская,Казань,Санкт-Петербург,Оптовый,2023-01-01 18:14:00,2023-01-03 20:14:00,2.7,Зима,Зима
1512,221.76,214,13,2,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Санкт-Петербург,Калининград,Розничный,2023-01-01 18:30:00,2023-01-02 07:30:00,120.0,Зима,Зима
1312,1844.95,964,58,2,B2B,Юридическое лицо,Бытовая техника,Малая техника,Москва,Москва,Розничный,2023-01-01 19:33:00,2023-01-04 05:33:00,7.0,Зима,Зима
2964,546.02,364,5,9,B2C,Физическое лицо,Одежда,Мужская,Санкт-Петербург,Нижний Новгород,Розничный,2023-01-02 03:39:00,2023-01-02 08:39:00,2.7,Зима,Зима
2419,418.01,759,37,3,B2C,Юридическое лицо,Бытовая техника,Малая техника,Казань,Новосибирск,Розничный,2023-01-02 06:36:00,2023-01-03 19:36:00,10.5,Зима,Зима
3703,745.58,808,15,4,B2C,Физическое лицо,Спорттовары,Тренажеры,Казань,Нижний Новгород,Розничный,2023-01-02 10:07:00,2023-01-03 01:07:00,105.2,Зима,Зима
2178,370.17,228,30,1,B2C,Юридическое лицо,Электроника,Компьютеры,Казань,Владивосток,Оптовый,2023-01-02 12:44:00,2023-01-03 18:44:00,2.2,Зима,Зима
538,1271.75,955,2,3,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Казань,Розничный,2023-01-02 13:27:00,2023-01-02 15:27:00,1.2000000000000002,Зима,Зима
2260,385.74,481,45,6,B2B,Физическое лицо,Электроника,Компьютеры,Казань,Санкт-Петербург,Розничный,2023-01-02 14:12:00,2023-01-04 11:12:00,13.2,Зима,Зима
2798,507.11,692,46,8,B2B,Физическое лицо,Электроника,Мобильные устройства,Сочи,Сочи,Розничный,2023-01-02 14:31:00,2023-01-04 12:31:00,1.36,Зима,Зима
187,108.03,88,11,6,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Казань,Розничный,2023-01-02 17:58:00,2023-01-03 04:58:00,105.0,Зима,Зима
827,1426.0,809,65,3,B2B,Физическое лицо,Электроника,Компьютеры,Москва,Сочи,Розничный,2023-01-02 19:33:00,2023-01-05 12:33:00,30.0,Зима,Зима
4134,883.36,657,42,4,B2B,Физическое лицо,Бытовая техника,Малая техника,Москва,Владивосток,Розничный,2023-01-02 20:14:00,2023-01-04 14:14:00,12.2,Зима,Зима
2014,336.14,563,52,3,B2B,Физическое лицо,Одежда,Женская,Москва,Калининград,Розничный,2023-01-02 20:25:00,2023-01-05 00:25:00,0.8999999999999999,Зима,Зима
2837,514.43,444,13,5,B2B,Юридическое лицо,Одежда,Мужская,Москва,Сочи,Розничный,2023-01-02 22:26:00,2023-01-03 11:26:00,3.5,Зима,Зима
737,137.93,116,70,8,B2C,Физическое лицо,Бытовая техника,Малая техника,Москва,Калининград,Розничный,2023-01-02 22:29:00,2023-01-05 20:29:00,72.0,Зима,Зима
3702,745.54,750,51,1,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Владивосток,Розничный,2023-01-02 23:26:00,2023-01-05 02:26:00,0.18,Зима,Зима
3918,81.05,47,67,5,B2C,Юридическое лицо,Одежда,Унисекс,Москва,Казань,Розничный,2023-01-03 04:36:00,2023-01-05 23:36:00,2.0,Зима,Зима
3713,748.67,959,49,9,B2C,Физическое лицо,Электроника,Мобильные устройства,Казань,Краснодар,Оптовый,2023-01-03 06:17:00,2023-01-05 07:17:00,4.5,Зима,Зима
1476,214.78,124,14,8,B2C,Юридическое лицо,Электроника,Компьютеры,Санкт-Петербург,Краснодар,Розничный,2023-01-03 10:10:00,2023-01-04 00:10:00,17.6,Зима,Зима
2672,478.45,388,22,8,B2C,Юридическое лицо,Электроника,Аксессуары,Казань,Калининград,Оптовый,2023-01-03 14:32:00,2023-01-04 12:32:00,0.104,Зима,Зима
2782,502.6,556,5,8,B2B,Физическое лицо,Электроника,Аксессуары,Новосибирск,Екатеринбург,Розничный,2023-01-03 15:58:00,2023-01-03 20:58:00,2.0,Зима,Зима
1594,241.34,473,12,7,B2C,Юридическое лицо,Электроника,Мобильные устройства,Новосибирск,Казань,Розничный,2023-01-03 17:22:00,2023-01-04 05:22:00,1.1900000000000002,Зима,Зима
