cost,distance,delivery_time_hours,quantity,segment,customer_type,category,sub_category,city_x,city_y,store_type,departure_date,arrival_date,total_mass_kg,departure_season,arrival_season
10.21,7,30,10,B2C,Физическое лицо,Электроника,Компьютеры,Москва,Краснодар,Розничный,2023-04-22 13:44:00,2023-04-23 19:44:00,22.0,Весна,Весна
10.44,6,33,7,B2C,Физическое лицо,Электроника,Аксессуары,Новосибирск,Екатеринбург,Розничный,2023-07-07 00:29:00,2023-07-08 09:29:00,1.75,Лето,Лето
10.57,15,49,7,B2C,Физическое лицо,Одежда,Унисекс,Москва,Москва,Розничный,2023-09-18 22:13:00,2023-09-20 23:13:00,1.26,Осень,Осень
10.65,13,59,6,B2C,Физическое лицо,Одежда,Женская,Москва,Казань,Розничный,2023-03-04 14:24:00,2023-03-07 01:24:00,1.7999999999999998,Весна,Весна
10.81,10,25,7,B2B,Физическое лицо,Бытовая техника,Малая техника,Казань,Краснодар,Оптовый,2023-04-21 04:19:00,2023-04-22 05:19:00,122.5,Весна,Весна
100.28,172,35,6,B2B,Физическое лицо,Электроника,Компьютеры,Нижний Новгород,Калининград,Розничный,2023-02-27 18:54:00,2023-03-01 05:54:00,30.0,Зима,Весна
100.72,59,29,5,B2C,Физическое лицо,Бытовая техника,Крупная техника,Казань,Краснодар,Оптовый,2023-11-26 10:35:00,2023-11-27 15:35:00,300.0,Осень,Осень
1000.03,960,9,8,B2B,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Санкт-Петербург,Розничный,2023-08-03 05:16:00,2023-08-03 14:16:00,4.0,Лето,Лето
1000.17,534,37,3,B2C,Юридическое лицо,Бытовая техника,Малая техника,Нижний Новгород,Москва,Розничный,2023-05-20 15:46:00,2023-05-22 04:46:00,52.5,Весна,Весна
1000.43,779,6,3,B2C,Физическое лицо,Бытовая техника,Малая техника,Нижний Новгород,Екатеринбург,Розничный,2023-10-12 19:08:00,2023-10-13 01:08:00,10.5,Осень,Осень
1000.63,849,11,7,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Владивосток,Оптовый,2023-06-23 20:14:00,2023-06-24 07:14:00,6.859999999999999,Лето,Лето
1001.09,636,13,4,B2B,Физическое лицо,Одежда,Унисекс,Новосибирск,Нижний Новгород,Розничный,2023-01-29 16:16:00,2023-01-30 05:16:00,1.6,Зима,Зима
1001.41,837,20,8,B2C,Физическое лицо,Одежда,Женская,Сочи,Новосибирск,Розничный,2023-06-20 02:03:00,2023-06-20 22:03:00,2.4,Лето,Лето
1002.23,933,39,9,VIP,Физическое лицо,Бытовая техника,Крупная техника,Казань,Москва,Розничный,2023-06-20 08:34:00,2023-06-21 23:34:00,630.0,Лето,Лето
1002.71,819,23,8,B2C,Юридическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Владивосток,Розничный,2023-09-19 06:20:00,2023-09-20 05:20:00,1.36,Осень,Осень
1003.15,726,11,7,B2B,Физическое лицо,Бытовая техника,Крупная техника,Сочи,Новосибирск,Розничный,2023-08-17 17:03:00,2023-08-18 04:03:00,490.0,Лето,Лето
1004.2,968,63,7,B2C,Физическое лицо,Одежда,Мужская,Сочи,Екатеринбург,Розничный,2023-04-06 21:32:00,2023-04-09 12:32:00,4.9,Весна,Весна
1004.22,955,57,10,B2C,Физическое лицо,Одежда,Унисекс,Санкт-Петербург,Казань,Розничный,2023-07-31 15:08:00,2023-08-03 00:08:00,4.0,Лето,Лето
1004.35,551,57,1,B2C,Физическое лицо,Одежда,Мужская,Новосибирск,Калининград,Розничный,2023-09-10 18:05:00,2023-09-13 03:05:00,0.7,Осень,Осень
1006.46,687,34,5,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Новосибирск,Оптовый,2023-04-04 18:32:00,2023-04-06 04:32:00,1.25,Весна,Весна
1006.48,886,38,9,VIP,Физическое лицо,Одежда,Унисекс,Москва,Новосибирск,Розничный,2023-09-21 07:06:00,2023-09-22 21:06:00,3.6,Осень,Осень
1007.51,867,31,8,B2C,Физическое лицо,Бытовая техника,Малая техника,Новосибирск,Сочи,Розничный,2023-10-23 20:11:00,2023-10-25 03:11:00,28.0,Осень,Осень
1007.77,652,10,8,B2C,Физическое лицо,Электроника,Компьютеры,Сочи,Нижний Новгород,Розничный,2023-05-03 16:21:00,2023-05-04 02:21:00,40.0,Весна,Весна
1008.8,835,6,2,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Казань,Оптовый,2023-04-08 17:24:00,2023-04-08 23:24:00,18.0,Весна,Весна
1008.8,966,55,4,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Казань,Сочи,Розничный,2023-05-09 06:23:00,2023-05-11 13:23:00,240.0,Весна,Весна
1009.31,906,5,1,VIP,Физическое лицо,Бытовая техника,Малая техника,Сочи,Краснодар,Розничный,2023-03-25 17:20:00,2023-03-25 22:20:00,17.5,Весна,Весна
101.09,55,15,4,B2C,Юридическое лицо,Электроника,Мобильные устройства,Казань,Казань,Оптовый,2023-03-10 21:34:00,2023-03-11 12:34:00,2.0,Весна,Весна
101.23,189,49,8,B2C,Юридическое лицо,Бытовая техника,Крупная техника,Казань,Казань,Розничный,2023-06-26 17:07:00,2023-06-28 18:07:00,560.0,Лето,Лето
101.32,94,55,6,B2C,Физическое лицо,Одежда,Мужская,Казань,Екатеринбург,Оптовый,2023-08-28 09:39:00,2023-08-30 16:39:00,3.0,Лето,Лето
101.41,83,19,3,B2B,Физическое лицо,Бытовая техника,Малая техника,Москва,Краснодар,Розничный,2023-03-28 01:24:00,2023-03-28 20:24:00,52.5,Весна,Весна
101.9,99,33,3,VIP,Физическое лицо,Электроника,Компьютеры,Казань,Владивосток,Оптовый,2023-12-13 04:45:00,2023-12-14 13:45:00,15.0,Зима,Зима
101.94,98,22,9,B2B,Физическое лицо,Электроника,Компьютеры,Сочи,Москва,Розничный,2023-08-09 02:57:00,2023-08-10 00:57:00,45.0,Лето,Лето
1010.51,588,18,6,B2C,Физическое лицо,Одежда,Мужская,Казань,Краснодар,Оптовый,2023-09-10 17:36:00,2023-09-11 11:36:00,4.199999999999999,Осень,Осень
1010.61,851,65,3,B2C,Физическое лицо,Одежда,Мужская,Казань,Екатеринбург,Оптовый,2023-11-02 12:52:00,2023-11-05 05:52:00,1.5,Осень,Осень
1010.64,794,23,4,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Новосибирск,Розничный,2023-03-22 18:26:00,2023-03-23 17:26:00,0.72,Весна,Весна
1010.86,758,57,2,B2C,Физическое лицо,Бытовая техника,Малая техника,Казань,Владивосток,Оптовый,2023-04-05 17:10:00,2023-04-08 02:10:00,18.0,Весна,Весна
1011.69,971,41,10,B2B,Физическое лицо,Одежда,Женская,Сочи,Калининград,Розничный,2023-08-29 11:55:00,2023-08-31 04:55:00,3.3000000000000003,Лето,Лето
1012.39,984,57,6,B2C,Юридическое лицо,Одежда,Мужская,Новосибирск,Калининград,Розничный,2023-06-23 10:23:00,2023-06-25 19:23:00,3.0,Лето,Лето
1013.67,699,23,8,B2C,Физическое лицо,Электроника,Аксессуары,Сочи,Владивосток,Розничный,2023-03-06 17:03:00,2023-03-07 16:03:00,0.104,Весна,Весна
1014.05,570,14,9,B2C,Физическое лицо,Спорттовары,Тренажеры,Нижний Новгород,Нижний Новгород,Розничный,2023-05-11 04:33:00,2023-05-11 18:33:00,236.7,Весна,Весна
1014.29,889,39,7,B2C,Физическое лицо,Электроника,Аксессуары,Санкт-Петербург,Владивосток,Розничный,2023-08-18 03:37:00,2023-08-19 18:37:00,1.75,Лето,Лето
1015.14,606,8,3,B2B,Физическое лицо,Одежда,Мужская,Москва,Нижний Новгород,Розничный,2023-10-16 04:11:00,2023-10-16 12:11:00,0.8999999999999999,Осень,Осень
1016.09,550,9,6,B2B,Физическое лицо,Одежда,Женская,Санкт-Петербург,Калининград,Розничный,2023-03-16 05:19:00,2023-03-16 14:19:00,1.7999999999999998,Весна,Весна
1016.65,816,56,7,B2C,Физическое лицо,Электроника,Мобильные устройства,Санкт-Петербург,Казань,Розничный,2023-01-31 17:53:00,2023-02-03 01:53:00,3.5,Зима,Зима
1017.15,521,61,2,B2C,Физическое лицо,Одежда,Мужская,Сочи,Новосибирск,Розничный,2023-06-04 20:58:00,2023-06-07 09:58:00,1.4,Лето,Лето
1017.27,686,70,2,B2B,Физическое лицо,Спорттовары,Тренажеры,Нижний Новгород,Казань,Розничный,2023-09-16 00:54:00,2023-09-18 22:54:00,52.6,Осень,Осень
1017.42,902,41,9,B2B,Физическое лицо,Бытовая техника,Крупная техника,Сочи,Калининград,Розничный,2023-02-15 06:34:00,2023-02-16 23:34:00,630.0,Зима,Зима
1018.61,738,30,10,B2C,Физическое лицо,Электроника,Аксессуары,Казань,Сочи,Розничный,2023-07-04 15:37:00,2023-07-05 21:37:00,2.5,Лето,Лето
1018.67,554,53,5,VIP,Физическое лицо,Одежда,Унисекс,Москва,Владивосток,Розничный,2023-07-12 16:20:00,2023-07-14 21:20:00,0.8999999999999999,Лето,Лето
1019.54,817,29,9,B2C,Физическое лицо,Одежда,Мужская,Новосибирск,Новосибирск,Розничный,2023-12-21 06:26:00,2023-12-22 11:26:00,2.7,Зима,Зима
102.52,54,5,6,B2B,Физическое лицо,Электроника,Мобильные устройства,Москва,Владивосток,Розничный,2023-09-24 15:54:00,2023-09-24 20:54:00,3.0,Осень,Осень
102.78,119,57,9,B2B,Физическое лицо,Электроника,Аксессуары,Казань,Новосибирск,Розничный,2023-11-19 14:18:00,2023-11-21 23:18:00,0.27,Осень,Осень
102.87,160,1,5,B2C,Физическое лицо,Одежда,Унисекс,Сочи,Санкт-Петербург,Розничный,2023-10-21 11:26:00,2023-10-21 12:26:00,0.8999999999999999,Осень,Осень
1020.11,684,45,10,B2C,Физическое лицо,Спорттовары,Тренажеры,Москва,Санкт-Петербург,Розничный,2023-09-10 22:24:00,2023-09-12 19:24:00,263.0,Осень,Осень
1020.62,997,6,6,VIP,Физическое лицо,Одежда,Мужская,Москва,Екатеринбург,Розничный,2023-07-27 09:16:00,2023-07-27 15:16:00,4.199999999999999,Лето,Лето
